lot_id,name,start_price,appraised_price,region_code,property_group,is_closed,auction_cnt,is_single_step,no_docs,zaklad_percent,price_vs_appraised,duration_hours,red_flag_score,ensemble_score,xgb_prob,iso_anomaly,url,is_suspicious,flag_type,comment
23372765,KA1714207028/5-1 yer uchastkasi,14509100.0,34660939.0,UZ-NW,Yer uchastkalari,0,31,0,0,25.0,0.4186008924916893,-1.0,4.5,0.6248,0.99885035,0,https://e-auksion.uz/lot-view?lot_id=23372765,,,
23098339,Savdo do`koni,210572164.0,210572164.0,UZ-QR,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,7.0,0.9067,0.9992568,1,https://e-auksion.uz/lot-view?lot_id=23098339,,,
23453538,Бўш ер участкаси - Y1722214-968034/004,10257704.2,51288521.0,UZ-QR,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,320,0,0,25.0,0.19999999999999998,-1.0,4.5,0.6339,0.9992754,0,https://e-auksion.uz/lot-view?lot_id=23453538,,,
22867331,DAMAS,88596000.0,88596000.0,UZ-NG,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.9132,0.9985392,1,https://e-auksion.uz/lot-view?lot_id=22867331,,,
23464420,Бўш ер участкаси - Y1710212-1330928/020,73967.0,369835.0,UZ-QA,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,121,0,0,50.0,0.2,-1.0,4.5,0.7095,0.9993437,1,https://e-auksion.uz/lot-view?lot_id=23464420,,,
23037586,FL1712251-00570/002,4120000.0,4120000.0,UZ-SI,Yer uchastkalari,0,1,1,0,25.0,1.0,-1.0,5.0,0.8004,0.9978866,1,https://e-auksion.uz/lot-view?lot_id=23037586,,,
23202294,"Ko`chma savdo joyi, bozor hududida - SX49224",104400.0,104400.0,UZ-QA,Koʻchma savdo joylari,0,85,0,0,50.0,1.0,-1.0,2.5,0.0381,0.0005883769,0,https://e-auksion.uz/lot-view?lot_id=23202294,,,
23313835,"Ko`chma savdo joyi, yo`l yoqasida - SX185128",450000.0,450000.0,UZ-FA,Koʻchma savdo joylari,0,10,0,0,25.0,1.0,-1.0,2.5,0.0465,0.00052018,0,https://e-auksion.uz/lot-view?lot_id=23313835,,,
23462287,Бўш ер участкаси - Y1718215-377374/074,3246395.4,16231977.0,UZ-BU,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,245,0,0,25.0,0.19999999999999998,-1.0,4.5,0.6297,0.9994562,0,https://e-auksion.uz/lot-view?lot_id=23462287,,,
23470329,NEXIA 3,92800000.0,92800000.0,UZ-QA,Avtotransport,0,1,1,1,5.0,1.0,-1.0,6.5,0.8698,0.9972909,1,https://e-auksion.uz/lot-view?lot_id=23470329,,,
23297855,"Ko`chma savdo joyi, yo`l yoqasida - SX149205",53197.0,53197.0,UZ-SU,Koʻchma savdo joylari,0,43,0,0,50.0,1.0,-1.0,2.5,0.0311,0.00046995367,0,https://e-auksion.uz/lot-view?lot_id=23297855,,,
23329819,MG1706230016/148 yer uchastkasi,22357423.2,74524744.0,UZ-SA,Yer uchastkalari,0,61,0,0,15.0,0.3,-1.0,4.5,0.6628,0.99911064,0,https://e-auksion.uz/lot-view?lot_id=23329819,,,
23440858,Qishloq xo'jaligiga mo'ljallangan yerlar (paxta va g'alla yetishtirish),1936680000.0,1936680000.0,UZ-QR,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,6.5,0.9296,0.9963917,1,https://e-auksion.uz/lot-view?lot_id=23440858,,,
22895538,IAPZ 738,8655000.0,8655000.0,UZ-BU,Avtotransport,0,1,1,1,25.0,1.0,-1.0,6.0,0.8932,0.9986639,1,https://e-auksion.uz/lot-view?lot_id=22895538,,,
23371323,MG1714224035/12 yer uchastkasi,4706750.0,10507338.0,UZ-NW,Yer uchastkalari,0,41,0,0,25.0,0.4479488525066958,-1.0,4.5,0.6046,0.99915445,0,https://e-auksion.uz/lot-view?lot_id=23371323,,,
23136459,Omborxona (muzxona) binosi,965756250.0,965756250.0,UZ-FA,Koʻchmas mulk,0,1,1,1,5.0,1.0,-1.0,7.0,0.915,0.998898,1,https://e-auksion.uz/lot-view?lot_id=23136459,,,
23336276,KA1710224055/12-1 yer uchastkasi,4218750.0,22958939.16,UZ-QA,Yer uchastkalari,0,34,0,0,25.0,0.1837519569436413,-1.0,4.5,0.6369,0.9993975,0,https://e-auksion.uz/lot-view?lot_id=23336276,,,
22867363,CHEVROLET TRACKER-2,187900000.0,187900000.0,UZ-BU,Avtotransport,0,1,1,1,5.0,1.0,-1.0,7.0,0.9185,0.9992823,1,https://e-auksion.uz/lot-view?lot_id=22867363,,,
23243069,MAN TGS 33.360,369469440.0,369469440.0,UZ-TK,Avtotransport,0,57,0,1,5.0,1.0,-1.0,5.0,0.9637,0.9942498,1,https://e-auksion.uz/lot-view?lot_id=23243069,,,
23300993,CHEVROLET LACETTI 2,108720000.0,108720000.0,UZ-SI,Avtotransport,0,2,0,1,5.0,1.0,-1.0,5.0,0.9449,0.9994128,1,https://e-auksion.uz/lot-view?lot_id=23300993,,,
23335662,KA1735207027/3-1 yer uchastkasi,4218750.0,14179470.0,UZ-SU,Yer uchastkalari,0,36,0,0,25.0,0.29752522484972993,-1.0,4.5,0.6507,0.999318,0,https://e-auksion.uz/lot-view?lot_id=23335662,,,
23449607,Бўш ер участкаси - Y1722215-1134062/079,908778.4,4543892.0,UZ-QR,Dehqon xoʼjaligiga moʼljallangan yer uchastkalari,0,200,0,0,25.0,0.2,-1.0,4.5,0.639,0.9991843,0,https://e-auksion.uz/lot-view?lot_id=23449607,,,
23437046,KA1733212021/11-1 yer uchastkasi,55366920.0,55366920.0,UZ-TO,Yer uchastkalari,0,1,1,0,5.0,1.0,-1.0,5.5,0.7365,0.9948325,1,https://e-auksion.uz/lot-view?lot_id=23437046,,,
23329645,MG1706246049/61 yer uchastkasi,68292410.35,227641367.82,UZ-SA,Yer uchastkalari,0,63,0,0,5.0,0.3000000000175715,-1.0,5.5,0.7445,0.9986511,1,https://e-auksion.uz/lot-view?lot_id=23329645,,,
