lot_number,lot_url,district,category,auction_settings,start_price,appraised_price,price_ratio,auction_count,is_suspicious,is_bankruptcy,no_discount,price_below_10pct,price_below_70pct,is_ultra_repeated,seller_lot_count
23468972,https://e-auksion.uz/lot-view?lot_id=23468972,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),11657047.28,14571309.1,0.7999999999999999,3,0,0,0,0,0,0,3782
23452340,https://e-auksion.uz/lot-view?lot_id=23452340,O`zbekiston tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,25241245.92,31551557.4,0.8,3,0,0,0,0,0,0,3782
23468970,https://e-auksion.uz/lot-view?lot_id=23468970,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9500667.28,11875834.1,0.7999999999999999,3,0,0,0,0,0,0,3782
23452329,https://e-auksion.uz/lot-view?lot_id=23452329,O`zbekiston tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,14077407.16,17596758.96,0.7999999995453708,3,0,0,0,0,0,0,3782
22924187,https://e-auksion.uz/lot-view?lot_id=22924187,Toshloq tumani,Maxsus texnikalar,Odatiy sozlama,517717206.3,739596009.0,0.7000000000000001,1,0,0,0,0,0,0,249
23452335,https://e-auksion.uz/lot-view?lot_id=23452335,Beshariq tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,59884941.6,74856177.0,0.8,3,0,0,0,0,0,0,3782
22798126,https://e-auksion.uz/lot-view?lot_id=22798126,Qo`qon shahri,Yengil,Odatiy sozlama,32360300.0,46229000.0,0.7,1,0,0,0,0,0,0,249
23468978,https://e-auksion.uz/lot-view?lot_id=23468978,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9500667.28,11875834.1,0.7999999999999999,3,0,0,0,0,0,0,3782
23468948,https://e-auksion.uz/lot-view?lot_id=23468948,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),14605367.04,18256708.8,0.7999999999999999,3,0,0,0,0,0,0,3782
23468935,https://e-auksion.uz/lot-view?lot_id=23468935,O`zbekiston tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),17710312.76,22137890.94,0.8000000003613714,3,0,0,0,0,0,0,3782
23468975,https://e-auksion.uz/lot-view?lot_id=23468975,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9443890.4,11804863.0,0.8,3,0,0,0,0,0,0,3782
23300004,https://e-auksion.uz/lot-view?lot_id=23300004,Buvayda tumani,Yengil,Odatiy sozlama,22805300.0,32579000.0,0.7,1,0,0,0,0,0,0,249
22958167,https://e-auksion.uz/lot-view?lot_id=22958167,Dang`ara tumani,Yengil,Odatiy sozlama,36535100.0,52193000.0,0.7,1,0,0,0,0,0,0,249
22867244,https://e-auksion.uz/lot-view?lot_id=22867244,Qo`qon shahri,Yengil,Odatiy sozlama,80473819.3,114962599.0,0.7,1,0,0,0,0,0,0,249
23468976,https://e-auksion.uz/lot-view?lot_id=23468976,Quva tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),9349262.24,11686577.8,0.7999999999999999,3,0,0,0,0,0,0,3782
23468969,https://e-auksion.uz/lot-view?lot_id=23468969,Beshariq tumani,Dehqon xo‘jaligi yuritish uchun yer uchastkalarini ijaraga berish,Dehqon xo`jaligi yerlari(Auksion),8040456.88,10050571.1,0.8,3,0,0,0,0,0,0,3782
23452336,https://e-auksion.uz/lot-view?lot_id=23452336,O`zbekiston tumani,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,Yoshlarga dehqon xo‘jaligini yuritish uchun yer uchastkalari,57919775.76,72399719.7,0.7999999999999999,3,0,0,0,0,0,0,3782
22759051,https://e-auksion.uz/lot-view?lot_id=22759051,Qo`qon shahri,Yengil,Odatiy sozlama,49600600.0,70858000.0,0.7,1,0,0,0,0,0,0,249
22797916,https://e-auksion.uz/lot-view?lot_id=22797916,O`zbekiston tumani,Yengil,Odatiy sozlama,15745100.0,22493000.0,0.7,1,0,0,0,0,0,0,249
